0	60	130	90
1	60	130	90
2	60	130	90
3	60	130	90
4	60	130	90
5	60	130	90
6	60	130	90
7	60	130	90
8	60	130	90
9	60	130	90
10	60	130	90
11	60	130	90
12	60	130	90
13	60	130	90
14	60	130	90
15	60	130	90
16	60	130	90
17	60	130	90
18	60	130	90
19	60	130	90
20	60	130	90
21	60	130	90
22	60	130	90
23	60	130	90
24	60	130	90
25	60	130	90
26	60	130	90
27	60	130	90
28	60	130	90
29	60	130	90
30	60	130	90
31	60	130	90
32	60	130	90
33	60	130	90
34	60	130	90
35	60	130	90
36	60	130	90
37	60	130	90
38	60	130	90
39	60	130	90
40	60	130	90
41	60	130	90
42	60	130	90
43	60	130	90
44	60	130	90
45	60	130	90
46	60	130	90
47	60	130	90
48	60	130	90
49	60	130	90
50	60	130	90
51	60	130	90
52	60	130	90
53	60	130	90
54	60	130	90
55	60	130	90
56	60	130	90
57	60	130	90
58	60	130	90
59	60	130	90
60	60	130	90
61	60	130	90
62	60	130	90
63	60	130	90
64	60	130	90
65	60	130	90
66	60	130	90
67	60	130	90
68	60	130	90
69	60	130	90
70	60	130	90
71	60	130	90
72	60	130	90
73	60	130	90
74	60	130	90
75	60	130	90
76	60	130	90
77	60	130	90
78	60	130	90
79	60	130	90
80	90	170	130
81	90	170	130
82	90	170	130
83	90	170	130
84	90	170	130
85	90	170	130
86	90	170	130
87	90	170	130
88	90	170	130
89	90	170	130
90	130	210	170
91	130	210	170
92	130	210	170
93	130	210	170
94	130	210	170
95	130	210	170
96	130	210	170
97	130	210	170
98	130	210	170
99	240	240	200
100	240	240	200
101	240	240	200
102	255	215	100
103	255	215	100
104	255	215	100
105	255	215	100
106	255	215	100
107	255	215	100
108	255	215	100
109	255	215	100
110	255	215	100
111	255	150	40
112	255	150	40
113	255	150	40
114	255	150	40
115	255	150	40
116	255	150	40
117	255	150	40
118	255	150	40
119	255	150	40
120	255	150	40
121	205	75	0
122	205	75	0
123	205	75	0
124	205	75	0
125	205	75	0
126	205	75	0
127	205	75	0
128	205	75	0
129	205	75	0
130	205	75	0
131	205	75	0
132	205	75	0
133	205	75	0
134	205	75	0
135	205	75	0
136	205	75	0
137	205	75	0
138	205	75	0
139	205	75	0
140	205	75	0
141	205	75	0
142	205	75	0
143	205	75	0
144	205	75	0
145	205	75	0
146	205	75	0
147	205	75	0
148	205	75	0
149	205	75	0
150	205	75	0
151	205	75	0
152	205	75	0
153	205	75	0
154	205	75	0
155	205	75	0
156	205	75	0
157	205	75	0
158	205	75	0
159	205	75	0
160	205	75	0
161	205	75	0
162	205	75	0
163	205	75	0
164	205	75	0
165	205	75	0
166	205	75	0
167	205	75	0
168	205	75	0
169	205	75	0
170	205	75	0
171	205	75	0
172	205	75	0
173	205	75	0
174	205	75	0
175	205	75	0
176	205	75	0
177	205	75	0
178	205	75	0
179	205	75	0
180	205	75	0
181	205	75	0
182	205	75	0
183	205	75	0
184	205	75	0
185	205	75	0
186	205	75	0
187	205	75	0
188	205	75	0
189	205	75	0
190	205	75	0
191	205	75	0
192	205	75	0
193	205	75	0
194	205	75	0
195	205	75	0
196	205	75	0
197	205	75	0
198	205	75	0
199	205	75	0
200	205	75	0
201	255	255	255
202	255	255	255
203	255	255	255
204	255	255	255
205	255	255	255
206	255	255	255
207	255	255	255
208	255	255	255
209	255	255	255
210	255	255	255
211	255	255	255
212	255	255	255
213	255	255	255
214	255	255	255
215	255	255	255
216	255	255	255
217	255	255	255
218	255	255	255
219	255	255	255
220	255	255	255
221	255	255	255
222	255	255	255
223	255	255	255
224	255	255	255
225	255	255	255
226	255	255	255
227	255	255	255
228	255	255	255
229	255	255	255
230	255	255	255
231	255	255	255
232	255	255	255
233	255	255	255
234	255	255	255
235	255	255	255
236	255	255	255
237	255	255	255
238	255	255	255
239	255	255	255
240	255	255	255
241	255	255	255
242	255	255	255
243	255	255	255
244	255	255	255
245	255	255	255
246	255	255	255
247	255	255	255
248	255	255	255
249	255	255	255
250	0	255	0
251	0	0	0
252	225	225	225
253	0	100	255
254	255	255	255
255	255	255	255
