0	255	255	255	255	Missing
1	255	255	255	255	
2	255	255	255	255	
3	255	255	255	255	
4	255	255	255	255	
5	255	255	255	255	
6	255	255	255	255	
7	255	255	255	255	
8	255	255	255	255	
9	255	255	255	255	
10	255	255	255	255	
11	255	255	255	255	
12	255	255	255	255	
13	255	255	255	255	
14	255	255	255	255	
15	255	255	255	255	
16	255	255	255	255	
17	255	255	255	255	
18	255	255	255	255	
19	255	255	255	255	
20	255	255	255	255	
21	255	255	255	255	
22	255	255	255	255	
23	255	255	255	255	
24	255	255	255	255	
25	255	255	255	255	
26	255	255	255	255	
27	255	255	255	255	
28	255	255	255	255	
29	255	255	255	255	
30	255	255	255	255	
31	255	255	255	255	
32	255	255	255	255	
33	255	255	255	255	
34	255	255	255	255	
35	255	255	255	255	
36	255	255	255	255	
37	255	255	255	255	
38	255	255	255	255	
39	255	255	255	255	
40	255	255	255	255	
41	110	80	255	255	AGR-dominant
42	110	80	255	255	AGR-dominant
43	110	80	255	255	AGR-dominant
44	110	80	255	255	AGR-dominant
45	110	80	255	255	AGR-dominant
46	255	255	255	255	
47	255	255	255	255	
48	255	255	255	255	
49	255	255	255	255	
50	255	255	255	255	
51	110	80	255	255	AGR-dominant
52	110	80	255	255	AGR-dominant
53	110	80	255	255	AGR-dominant
54	110	80	255	255	AGR-dominant
55	110	80	255	255	AGR-dominant
56	255	255	255	255	
57	255	255	255	255	
58	255	255	255	255	
59	255	255	255	255	
60	255	255	255	255	
61	140	140	140	255	AGR-minor
62	140	140	140	255	AGR-minor
63	140	140	140	255	AGR-minor
64	140	140	140	255	AGR-minor
65	140	140	140	255	AGR-minor
66	255	255	255	255	
67	255	255	255	255	
68	255	255	255	255	
69	255	255	255	255	
70	255	255	255	255	
71	240	240	70	255	AGR-subdominant
72	240	240	70	255	AGR-subdominant
73	240	240	70	255	AGR-subdominant
74	240	240	70	255	AGR-subdominant
75	240	240	70	255	AGR-subdominant
76	255	255	255	255	
77	255	255	255	255	
78	255	255	255	255	
79	255	255	255	255	
80	255	255	255	255	
81	240	240	70	255	AGR-subdominant
82	240	240	70	255	AGR-subdominant
83	240	240	70	255	AGR-subdominant
84	240	240	70	255	AGR-subdominant
85	240	240	70	255	AGR-subdominant
86	255	255	255	255	
87	255	255	255	255	
88	255	255	255	255	
89	255	255	255	255	
90	255	255	255	255	
91	140	140	140	255	AGR-minor
92	140	140	140	255	AGR-minor
93	140	140	140	255	AGR-minor
94	140	140	140	255	AGR-minor
95	140	140	140	255	AGR-minor
96	255	255	255	255	
97	255	255	255	255	
98	255	255	255	255	
99	255	255	255	255	
100	255	255	255	255	
101	110	80	255	255	AGR-dominant
102	110	80	255	255	AGR-dominant
103	110	80	255	255	AGR-dominant
104	110	80	255	255	AGR-dominant
105	255	255	255	255	
106	255	255	255	255	
107	255	255	255	255	
108	255	255	255	255	
109	255	255	255	255	
110	255	255	255	255	
111	240	240	70	255	AGR-subdominant
112	240	240	70	255	AGR-subdominant
113	240	240	70	255	AGR-subdominant
114	240	240	70	255	AGR-subdominant
115	255	255	255	255	
116	255	255	255	255	
117	255	255	255	255	
118	255	255	255	255	
119	255	255	255	255	
120	255	255	255	255	
121	240	240	70	255	AGR-subdominant
122	240	240	70	255	AGR-subdominant
123	240	240	70	255	AGR-subdominant
124	240	240	70	255	AGR-subdominant
125	255	255	255	255	
126	255	255	255	255	
127	255	255	255	255	
128	255	255	255	255	
129	255	255	255	255	
130	255	255	255	255	
131	240	240	70	255	AGR-subdominant
132	240	240	70	255	AGR-subdominant
133	240	240	70	255	AGR-subdominant
134	240	240	70	255	AGR-subdominant
135	240	240	70	255	AGR-subdominant
136	255	255	255	255	
137	255	255	255	255	
138	255	255	255	255	
139	255	255	255	255	
140	255	255	255	255	
141	240	240	70	255	AGR-subdominant
142	240	240	70	255	AGR-subdominant
143	240	240	70	255	AGR-subdominant
144	240	240	70	255	AGR-subdominant
145	240	240	70	255	AGR-subdominant
146	255	255	255	255	
147	255	255	255	255	
148	255	255	255	255	
149	255	255	255	255	
150	255	255	255	255	
151	140	140	140	255	AGR-minor
152	140	140	140	255	AGR-minor
153	140	140	140	255	AGR-minor
154	140	140	140	255	AGR-minor
155	140	140	140	255	AGR-minor
156	255	255	255	255	
157	255	255	255	255	
158	255	255	255	255	
159	255	255	255	255	
160	255	255	255	255	
161	255	255	255	255	
162	255	255	255	255	
163	255	255	255	255	
164	255	255	255	255	
165	255	255	255	255	
166	255	255	255	255	
167	255	255	255	255	
168	255	255	255	255	
169	255	255	255	255	
170	140	140	140	255	AGR-minor
171	140	140	140	255	AGR-minor
172	140	140	140	255	AGR-minor
173	255	255	255	255	
174	255	255	255	255	
175	255	255	255	255	
176	255	255	255	255	
177	255	255	255	255	
178	255	255	255	255	
179	255	255	255	255	
180	110	80	255	255	AGR-dominant
181	110	80	255	255	AGR-dominant
182	110	80	255	255	AGR-dominant
183	255	255	255	255	
184	255	255	255	255	
185	255	255	255	255	
186	255	255	255	255	
187	255	255	255	255	
188	255	255	255	255	
189	255	255	255	255	
190	140	140	140	255	AGR-minor
191	140	140	140	255	AGR-minor
192	140	140	140	255	AGR-minor
193	255	255	255	255	
194	255	255	255	255	
195	255	255	255	255	
196	255	255	255	255	
197	255	255	255	255	
198	255	255	255	255	
199	255	255	255	255	
200	240	240	70	255	AGR-subdominant
201	240	240	70	255	AGR-subdominant
202	240	240	70	255	AGR-subdominant
203	240	240	70	255	AGR-subdominant
204	240	240	70	255	AGR-subdominant
205	240	240	70	255	AGR-subdominant
206	240	240	70	255	AGR-subdominant
207	240	240	70	255	AGR-subdominant
208	240	240	70	255	AGR-subdominant
209	240	240	70	255	AGR-subdominant
210	240	240	70	255	AGR-subdominant
211	240	240	70	255	AGR-subdominant
212	240	240	70	255	AGR-subdominant
213	240	240	70	255	AGR-subdominant
214	240	240	70	255	AGR-subdominant
215	240	240	70	255	AGR-subdominant
216	240	240	70	255	AGR-subdominant
217	240	240	70	255	AGR-subdominant
218	240	240	70	255	AGR-subdominant
219	240	240	70	255	AGR-subdominant
220	240	240	70	255	AGR-subdominant
221	240	240	70	255	AGR-subdominant
222	240	240	70	255	AGR-subdominant
223	240	240	70	255	AGR-subdominant
224	240	240	70	255	AGR-subdominant
225	240	240	70	255	AGR-subdominant
226	240	240	70	255	AGR-subdominant
227	240	240	70	255	AGR-subdominant
228	240	240	70	255	AGR-subdominant
229	240	240	70	255	AGR-subdominant
230	240	240	70	255	AGR-subdominant
231	240	240	70	255	AGR-subdominant
232	240	240	70	255	AGR-subdominant
233	240	240	70	255	AGR-subdominant
234	240	240	70	255	AGR-subdominant
235	240	240	70	255	AGR-subdominant
236	240	240	70	255	AGR-subdominant
237	255	255	255	255	
238	255	255	255	255	
239	255	255	255	255	
240	255	255	255	255	
241	255	255	255	255	
242	255	255	255	255	
243	255	255	255	255	
244	255	255	255	255	
245	255	255	255	255	
246	255	255	255	255	
247	255	255	255	255	
248	255	255	255	255	
249	255	255	255	255	
250	255	255	255	255	
251	255	255	255	255	
252	255	255	255	255	
253	255	255	255	255	
254	255	255	255	255	
255	255	255	255	255	
