0	215	50	40	255	
1	215	50	40	255	
2	215	50	40	255	
3	215	50	40	255	
4	215	50	40	255	
5	215	50	40	255	
6	215	50	40	255	
7	215	50	40	255	
8	215	50	40	255	
9	215	50	40	255	
10	250	140	90	255	
11	250	140	90	255	
12	250	140	90	255	
13	250	140	90	255	
14	250	140	90	255	
15	250	140	90	255	
16	250	140	90	255	
17	250	140	90	255	
18	250	140	90	255	
19	250	140	90	255	
20	250	140	90	255	
21	250	140	90	255	
22	250	140	90	255	
23	250	140	90	255	
24	250	140	90	255	
25	250	140	90	255	
26	250	140	90	255	
27	250	140	90	255	
28	250	140	90	255	
29	250	140	90	255	
30	250	140	90	255	
31	250	140	90	255	
32	250	140	90	255	
33	250	140	90	255	
34	250	140	90	255	
35	250	140	90	255	
36	250	140	90	255	
37	250	140	90	255	
38	250	140	90	255	
39	250	140	90	255	
40	255	200	0	255	
41	255	200	0	255	
42	255	200	0	255	
43	255	200	0	255	
44	255	200	0	255	
45	255	200	0	255	
46	255	200	0	255	
47	255	200	0	255	
48	255	200	0	255	
49	255	200	0	255	
50	255	200	0	255	
51	255	200	0	255	
52	255	200	0	255	
53	255	200	0	255	
54	255	200	0	255	
55	255	200	0	255	
56	255	200	0	255	
57	255	200	0	255	
58	255	200	0	255	
59	255	200	0	255	
60	140	200	100	255	
61	140	200	100	255	
62	140	200	100	255	
63	140	200	100	255	
64	140	200	100	255	
65	140	200	100	255	
66	140	200	100	255	
67	140	200	100	255	
68	140	200	100	255	
69	140	200	100	255	
70	140	200	100	255	
71	140	200	100	255	
72	140	200	100	255	
73	140	200	100	255	
74	140	200	100	255	
75	140	200	100	255	
76	140	200	100	255	
77	140	200	100	255	
78	140	200	100	255	
79	140	200	100	255	
80	140	200	100	255	
81	140	200	100	255	
82	140	200	100	255	
83	140	200	100	255	
84	140	200	100	255	
85	140	200	100	255	
86	140	200	100	255	
87	140	200	100	255	
88	140	200	100	255	
89	140	200	100	255	
90	0	175	0	255	
91	0	175	0	255	
92	0	175	0	255	
93	0	175	0	255	
94	0	175	0	255	
95	0	175	0	255	
96	0	175	0	255	
97	0	175	0	255	
98	0	175	0	255	
99	0	175	0	255	
100	0	175	0	255	
101	175	175	175	255	
102	255	255	255	255
103	255	255	255	255
104	255	255	255	255
105	0	100	255	255	
106	0	200	255	255
107	255	255	255	255	
108	255	255	255	255	
109	255	255	255	255	
110	255	255	255	255	
111	255	255	255	255	
112	255	255	255	255	
113	255	255	255	255	
